,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.1,1.0021287202835083,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,20000.0,18249,20000,1810.0472462177277,,,,-41615992.266666666,0.19372741878032684,0.19187793135643005,0.15897634625434875,0.15727196633815765,0.5261525511741638,0.5163613557815552,0.0769839659333229,0.7333333492279053,0.37087124586105347,0.08462098753205159,0.21876033974043088,-0.0049871747907274154,-0.01022263544914091,-0.002294978417664932,0.1371275931596756,0.18219667673110962,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-15_23-17-12 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-15_23-17-12 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.1,1.0021287202835083,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,30000.0,18249,30000,2586.3598363399506,,,,-41615992.266666666,0.1849685162305832,0.18913769721984863,0.15404267609119415,0.15977562963962555,0.508011519908905,0.5163443684577942,0.08479660749435425,0.7333333492279053,0.3575299382209778,0.0022816265199339576,0.0050137459307724236,0.0075134662101375834,-0.003401169846968531,-0.0007164852517632899,0.13897676765918732,0.12914404273033142,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-15_23-17-12 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-15_23-17-12 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.1,1.0021287202835083,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,10000.0,9449,10000,1033.5525350570679,,,,-41615992.0,0.1903652846813202,0.1897859126329422,0.1591765433549881,0.1575445681810379,0.4839027225971222,0.4924030601978302,0.0815153568983078,0.7000000476837158,0.36236080527305603,-0.02971160209559674,-0.06646819204346721,-0.011524174848080913,0.047447130995628695,0.010033311667347593,0.13956108689308167,0.1427532285451889,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-15_23-17-12.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-15_23-17-12.pth
3,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.01,0.06263304501771927,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,20000.0,19999,20000,1117.443531036377,,,,-2640189.216666667,0.019290387630462646,0.019516009837388992,0.014375215396285057,0.014566429890692234,0.057850807905197144,0.057454049587249756,0.006710529327392578,0.6666666865348816,0.03794778883457184,-0.056728277051191774,-0.018290965873775645,0.02794967172589528,0.23921330288367054,0.005882827166103496,0.033157676458358765,0.01884472742676735,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-22-53 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-22-53 (1).pth
4,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.01,0.06263304501771927,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,30000.0,29999,30000,1684.4610323905945,,,,-2707696.45,0.019516583532094955,0.01976577378809452,0.014175280928611755,0.014211073517799377,0.05897316336631775,0.058758050203323364,0.006833498831838369,0.7000000476837158,0.03569897636771202,-0.4762208580550253,-0.13346282894148184,0.028664301449916055,0.05920155054059218,0.0012872242544594004,0.037720054388046265,0.013455744832754135,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-22-53 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-22-53 (2).pth
5,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.01,0.06263304501771927,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,10000.0,9999,10000,559.0095503330231,,,,-2545024.4,0.019937878474593163,0.019965069368481636,0.015008357353508472,0.015066787600517273,0.05627632141113281,0.05630415678024292,0.007717682980000973,0.6666666865348816,0.03934198617935181,0.2351617813370627,0.06385675633731502,0.05386535198894472,0.2763003711969601,0.006185508244569727,0.053039103746414185,0.016515959054231644,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-22-53.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-22-53.pth
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.001,0.5010643601417542,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,20000.0,19999,20000,808.5835874080658,,,,-2383061.75,0.01847890578210354,0.018528880551457405,0.013808497227728367,0.01385378185659647,0.048809438943862915,0.0489601194858551,0.009116115048527718,0.1666666716337204,0.020250894129276276,0.2410974509973217,0.13508814544351644,0.10755683415448752,0.9675984387277548,0.03823496105341219,0.06383383274078369,0.01749160885810852,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-51-02 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-51-02 (1).pth
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.001,0.5010643601417542,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,30000.0,29999,30000,1193.192185163498,,,,-2452062.8,0.018707463517785072,0.018618667498230934,0.013950207270681858,0.013890823349356651,0.04842934012413025,0.048576146364212036,0.00879948865622282,0.1666666716337204,0.01998654566705227,0.19972753517223507,0.1389599315171423,0.13982697339121147,0.973281685284022,0.04671432775907091,0.07763010263442993,0.018888462334871292,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-51-02 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-51-02 (2).pth
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.001,0.5010643601417542,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,10000.0,9999,10000,425.7219560146332,,,,-2275348.9,0.0184837244451046,0.018510323017835617,0.013799226842820644,0.013824442401528358,0.049313515424728394,0.049519747495651245,0.009524937719106674,0.1666666716337204,0.02129591815173626,0.1503164533968433,0.17376194074050097,0.0943294296501473,0.9287490515707603,0.039297595112667144,0.05753886699676514,0.017500458285212517,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_00-51-02.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_00-51-02.pth
9,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,True,True,0.0001,0.12526609003543854,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,20000.0,12949,20000,762.4089043140411,,,,13203850.733333332,0.018579816445708275,0.018561970442533493,0.013818175531923771,0.013838625513017178,0.04913601279258728,0.04907447099685669,0.008867700584232807,0.13333334028720856,0.020759884268045425,0.048878237373716917,0.019661669578671846,0.19909877601711956,0.9044781432516872,0.037849127473711844,0.11434280872344971,0.01575135439634323,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_01-10-59 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_01-10-59 (1).pth
