,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,DROPOUT,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,20000.0,19999,20000,506.7348794937134,,,,0.00606322946647803,0.01980099268257618,0.022937681525945663,0.0147939994931221,0.016770098358392715,0.0516798198223114,0.0749661922454834,0.009675716049969196,0.3333333432674408,0.028741849586367607,0.9747332283030029,0.173290029319568,0.2694934414931647,0.7798830986844707,0.057297824919982934,0.19388192892074585,0.03019125387072563,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-28-16 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-28-16 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,30000.0,29999,30000,761.2601532936096,,,,0.004057895112782717,0.01977553404867649,0.02096673473715782,0.014792866073548794,0.0154386842623353,0.05127832293510437,0.06438279151916504,0.008850673213601112,0.23333334922790527,0.027295947074890137,0.9972080094465765,0.23994594456390597,0.26149172747204125,0.8639950498815523,0.0550485465523501,0.196000337600708,0.02705095335841179,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-28-16 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-28-16 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,1,10000.0,9999,10000,257.7047162055969,,,,0.010062608681619168,0.019919859245419502,0.0252822395414114,0.014930897392332554,0.018424926325678825,0.05177706480026245,0.085841104388237,0.010854767635464668,0.46666669845581055,0.03564731404185295,1.078560390072336,0.20763958402141053,0.24300663689137986,0.7957377532465937,0.05985313996066987,0.15640175342559814,0.030395589768886566,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-28-16.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-28-16.pth
3,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,20000.0,19999,20000,503.27677845954895,,,,0.00676285515849789,0.015708349645137787,0.016824543476104736,0.01275929156690836,0.013444170355796814,0.03523215651512146,0.041627079248428345,0.008522075600922108,0.6000000238418579,0.03892795741558075,1.648641064321442,0.06518449168481227,0.33772134100283835,0.7487148970538705,0.08677315870003195,0.17907437682151794,0.07095158845186234,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-41-00 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-41-00 (1).pth
4,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,30000.0,29999,30000,754.1855685710907,,,,0.004749957720438639,0.016215471550822258,0.016119390726089478,0.013430009596049786,0.013355850242078304,0.03452154994010925,0.035610586404800415,0.0077797649428248405,0.4333333671092987,0.03726358711719513,3.5951349843899028,0.1393146604094977,0.32754817730481683,0.7573103973556051,0.08286388489372407,0.185360848903656,0.06541223078966141,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-41-00 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-41-00 (2).pth
5,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,2,10000.0,9999,10000,251.69174432754517,,,,0.011452203368147213,0.01775461435317993,0.018054455518722534,0.013937917537987232,0.014291827566921711,0.047474488615989685,0.045142680406570435,0.00928544532507658,0.6666666865348816,0.03635416924953461,10.894175048417024,0.6854208126817914,0.2773696581963446,0.7733608567476229,0.08125573982555964,0.17372849583625793,0.05409198999404907,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-41-00.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-41-00.pth
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,20000.0,19599,20000,713.5967831611633,,,,0.002942972397431731,0.018654273822903633,0.018900113180279732,0.013921985402703285,0.014133886434137821,0.05193087458610535,0.051608920097351074,0.008539475500583649,0.23333334922790527,0.022489551454782486,0.10910574973400497,0.02941369889346548,0.26076420775606857,0.8187327972920482,0.03690899180469087,0.16421526670455933,0.01743059605360031,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-53-38 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-53-38 (1).pth
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,30000.0,21249,30000,1092.6847229003906,,,,0.0028751502279192208,0.018621666356921196,0.0189466904848814,0.013901672326028347,0.014109053649008274,0.051622986793518066,0.05192536115646362,0.008931651711463928,0.23333334922790527,0.020225223153829575,-0.25605278687413147,-0.05441229812123438,0.25718763170525194,0.9140826782527721,0.0506386712663502,0.14928776025772095,0.023155510425567627,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-53-38 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-53-38 (2).pth
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,3,10000.0,9999,10000,362.97798681259155,,,,0.004909857207288345,0.018816998228430748,0.021597545593976974,0.014088470488786697,0.015792682766914368,0.05182451009750366,0.0693655014038086,0.008046588860452175,0.30000001192092896,0.030605977401137352,0.30052747702883564,0.047595351317684824,0.2899097234931165,0.894467602850316,0.06145561703601446,0.2008640468120575,0.027218233793973923,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_15-53-38.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_15-53-38.pth
9,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,4,20000.0,17149,20000,739.1976726055145,,,,0.0034886222798377275,0.017105840146541595,0.016290221363306046,0.013574694283306599,0.013326102867722511,0.041796162724494934,0.03580605983734131,0.008601218461990356,0.3333333432674408,0.02902926318347454,4.13384237000641,0.27644550831565234,0.44588845520294795,0.8570169709942653,0.0622664734075154,0.26849600672721863,0.041641898453235626,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-06-01_16-11-54 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-06-01_16-11-54 (1).pth
