,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,MODEL,VARIATIONAL_FAMILY,GAUSSIAN_APPROXIMATION,APPPROXIMATE_GAUSSIAN_MEAN,FUNCTIONAL,MEASUREMENT_SET_SAMPLER,N_MEAS,EXACT_WEIGHT_KL,PROJECTION_METHOD,PRIOR_J,POST_J,PRIOR_ETA,POST_ETA,PRIOR_M,POST_M,POST_GP_ETA,LIKELIHOOD_STD,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,N_MC_SAMPLES,WEIGHTING,DEFAULT_INITIALIZATION,MAKE_GIF,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,N_POSTERIOR_SAMPLES,EXTRA_STD,N_POSTERIOR_SAMPLES_EVALUATION,SHOW_DIAGNOSTICS,SHOW_PLOT,pi,sigma1,sigma2,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,METRIC_uncertainty_vs_accuracy_slope_pm2_std,METRIC_uncertainty_vs_accuracy_cor_pm2_std,METRIC_extrapolation_uncertainty_vs_proximity_slope_pm2_std,METRIC_uncertainty_vs_proximity_cor_pm2_std,METRIC_interpolation_uncertainty_vs_proximity_slope_pm2_std,METRIC_extrapolation_uncertainty_spread_pm2_std,METRIC_interpolation_uncertainty_spread_pm2_std,filename,STATE_DICT_PATH,prior_type,scale
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,True,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,1299.0,599,1298,49.055466175079346,25.0,0.1,15.0,8.815526580810547,0.09763287007808685,0.09813536703586578,0.07895857095718384,0.08105963468551636,0.3085439205169678,0.3042132258415222,0.043841712176799774,1.0,0.37223342061042786,0.6617021388399239,0.5173691195807536,0.13628046652834674,-0.38061762746565847,-0.1695715403211653,0.1949460804462433,0.20117777585983276,0.6582938949832672,0.4962627414782665,0.10457655684912104,-0.4125513579459077,-0.10100548553140312,0.1488085687160492,0.10338890552520752,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-02-22 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-02-22 (1).pth,,
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,True,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,8799.0,6949,8798,321.0750024318695,50.0,-0.1,15.0,-60.062025451660155,0.06049869582056999,0.0613965168595314,0.04288605973124504,0.04456431791186333,0.1845076084136963,0.17579516768455505,0.01573987305164337,0.8666667342185974,0.13112491369247437,1.9406938226195767,0.5332711719679473,0.049752111735404426,-0.25030370417459,-0.025283939733480403,0.12277278304100037,0.05909869074821472,1.9433141359084845,0.5228544944400495,0.04205437354380211,-0.336680960935319,-0.028348630523554918,0.08826633542776108,0.04299117252230644,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-02-22 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-02-22 (2).pth,,
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,True,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,10000.0,9799,10000,362.3862872123718,,,,-62.66668650309245,0.05900406464934349,0.05920605733990669,0.04003707692027092,0.041634976863861084,0.18542081117630005,0.18491530418395996,0.014920970425009727,0.8333333730697632,0.11885567009449005,1.1343914328052591,0.5265270065509446,0.04981739212895141,-0.3951522371850733,-0.034988842945681484,0.08156654238700867,0.04659568518400192,1.1280660730597858,0.5126480258119477,0.046817045900935876,-0.4459182105525432,-0.02637096624302519,0.06076553463935852,0.030122604221105576,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-02-22 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-02-22 (3).pth,,
3,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,True,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,10499.0,9799,10498,379.37819647789,50.0,0.1,15.0,-62.70213724772135,0.0573011077940464,0.05810295045375824,0.03875982016324997,0.04089028388261795,0.17970618605613708,0.1715688556432724,0.014754192903637886,0.8333333730697632,0.12291616201400757,0.615508949131595,0.4297049366127281,0.046982808935710565,-0.3996952716273771,-0.03415484978860333,0.09719383716583252,0.05072569102048874,0.5604105073122874,0.3759899696241972,0.034421562370188355,-0.508847326225348,-0.0300061846706264,0.06456340849399567,0.03122152015566826,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-02-22 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-02-22 (4).pth,,
4,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,True,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,1249.0,599,1248,44.75306701660156,25.0,-0.1,15.0,11.707262420654297,0.10699312388896942,0.09387309104204178,0.0801645964384079,0.0737716555595398,0.3435412049293518,0.3063522279262543,0.03888218104839325,1.0,0.4367670714855194,0.8724055167964204,0.7360047998575916,0.060929237700837934,-0.3193050916765553,-0.059195456152413846,0.15084373950958252,0.09550279378890991,1.0461561795012597,0.6767090954956071,0.08147611450760284,-0.3377889528320356,-0.08817800405645133,0.08007290959358215,0.10537569224834442,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-02-22.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-02-22.pth,,
5,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,False,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,10000.0,8099,10000,188.61698389053345,,,,1523.441267903646,0.09655436128377914,0.09211583435535431,0.07636664807796478,0.07333754003047943,0.3106047511100769,0.2990592420101166,0.03697758540511131,0.9333333969116211,0.1872585117816925,0.5799674590309484,0.5202928982694152,0.05437172844341525,-0.09150203854673727,-0.015766045859281118,0.15137137472629547,0.06944011151790619,0.6131168064728141,0.5058247029717937,0.04828771487479689,-0.27840107749265924,-0.029367556014801472,0.09230002760887146,0.045568812638521194,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-08-47 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-08-47 (1).pth,,
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,False,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,11249.0,8099,11248,213.70346546173096,50.0,-0.1,15.0,1513.5519449869792,0.09425988793373108,0.09533500671386719,0.07415846735239029,0.07595684379339218,0.3071655035018921,0.30625468492507935,0.035684335976839066,0.9333333969116211,0.2068108320236206,0.6281260825776404,0.5037204023414058,0.07461491724052828,-0.008882616403368895,-0.0012326617817452438,0.11092628538608551,0.05765156447887421,0.629342168266357,0.49963119441733217,0.04527694073291915,-0.16604586398991414,-0.017517018813716815,0.08756528049707413,0.04430863633751869,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-08-47 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-08-47 (2).pth,,
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,False,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,20000.0,15299,20000,375.3133280277252,,,,1490.533780924479,0.08425440639257431,0.08419647067785263,0.06376368552446365,0.06360093504190445,0.2914990782737732,0.29247817397117615,0.028552191331982613,0.9000000357627869,0.17079250514507294,0.6404715675263207,0.4827364363763585,0.008965098284917823,-0.3206588341034977,-0.016283728177316065,0.04912786930799484,0.032948583364486694,0.6363042221623462,0.4828679966099658,0.029942933596726683,-0.24894246653106844,-0.01693002211989107,0.052008870989084244,0.034057002514600754,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-08-47 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-08-47 (3).pth,,
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,False,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,30000.0,15299,30000,556.148903131485,,,,1506.6074951171875,0.08746463805437088,0.0858464241027832,0.06514345109462738,0.06408607959747314,0.3022194802761078,0.2994711995124817,0.02805926464498043,0.9000000357627869,0.18310998380184174,0.5679093325699913,0.5418680307446246,0.04019351289922947,-0.01585011293170174,-0.0026104079794722684,0.057881563901901245,0.07357317954301834,0.5743460786078277,0.535202375814099,0.03568151823424636,-0.21601075694395575,-0.022985334317927052,0.050941068679094315,0.046186599880456924,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-08-47 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-08-47 (4).pth,,
9,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,MixtureWeightPrior2015BNN,Uniform,False,,False,data_only,200,False,torchbnn,100,25,0.1,0.1,500,50,,0.1,Adam,0.001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.25,0.1353352832366127,0.0024787521766663585,9999.0,8099,9998,186.53127717971802,25.0,-0.1,15.0,1522.0985514322917,0.09705507010221481,0.09556440263986588,0.06844393908977509,0.06979678571224213,0.3299720287322998,0.3228311538696289,0.03064369224011898,0.8333333730697632,0.1852618008852005,0.5911271718195731,0.6558403141298274,0.08575247797519937,-0.24720733815914753,-0.05936568073177695,0.16389964520931244,0.10415948927402496,0.6064961450250062,0.6367716470127839,0.040056156407035325,-0.1470851724638759,-0.020446238795318185,0.08389489352703094,0.05849587917327881,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-04_18-08-47.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-04_18-08-47.pth,,
